"title","tomatoMeter","audMeter","summary"
"The Last Full Measure","60%","96%","The Last Full Measure struggles to capture the incidents that inspired it, but ultimately prevails thanks to strong performances in service of a remarkable true story."
"Stray Dolls","73%","60%","Stray Dolls doesn't make it easy to identify with its central characters, but director/co-writer Sonejuhi Sinha's depiction of the American underbelly is compelling."
